# MJD 5_sigma_depth filter
59853.17536 21.616 y
59859.23937 22.481 z
59860.24440 22.632 z
59867.14882 21.911 y
59869.13019 22.071 y
59871.14355 22.004 y
59873.13383 23.386 u
59875.17575 23.067 u
59876.14610 23.123 u
59877.13351 23.232 u
59880.15433 22.210 y
59882.14476 22.310 y
59908.08810 22.514 z
59909.04605 23.031 z
59910.08387 24.504 g
60100.38691 21.506 y
60127.39497 21.802 y
60133.41850 21.778 y
60139.40068 23.041 u
60177.37176 24.050 r
60178.27527 24.240 r
60185.28490 21.542 y
60200.25089 22.977 u
60202.30269 23.121 u
60204.26051 23.138 u
60211.19213 21.632 y
60212.20191 21.875 y
60214.20029 21.730 y
60228.23347 22.764 u
60241.18973 21.962 y
60246.19199 22.569 z
60246.32064 22.232 z
60262.12461 22.662 u
60269.04155 22.909 z
60301.07123 22.747 z
60486.40072 22.347 z
60487.44328 21.373 y
60499.42916 24.165 r
60501.38429 23.361 i
60507.40899 22.574 i
60509.33674 21.735 y
60512.38392 21.150 y
60514.31985 21.724 z
60516.40326 21.937 z
60517.34715 21.983 z
60531.34766 23.308 u
60541.28825 22.763 z
60542.29213 22.516 z
60545.29602 21.967 y
60548.35597 23.837 r
60550.26177 23.940 r
60559.25157 23.045 u
60584.18484 22.959 u
60597.15457 21.973 y
60601.13862 21.783 y
60607.13914 24.920 g
60612.13241 23.682 u
60614.10767 23.575 u
60646.06906 24.445 r
60647.06932 22.984 u
60831.43693 23.275 i
60843.41977 23.446 i
60869.41016 22.621 z
60876.42972 23.629 i
60877.34131 23.817 r
60881.42964 24.183 r
60882.41888 23.369 i
60886.32588 24.448 g
60904.33997 24.614 g
60905.34812 23.340 i
60907.34725 23.737 r
60908.31867 24.119 r
60911.33316 24.096 r
60920.24810 23.089 i
60936.21755 22.920 u
60937.24199 22.951 u
60939.25273 23.757 r
60940.25641 22.704 u
60943.24624 23.954 r
60945.15843 24.047 r
60947.17926 23.484 i
60951.18104 21.544 y
60952.14777 22.612 z
60956.17302 21.871 y
60965.16742 22.881 u
60972.17753 23.057 u
60973.16883 24.368 g
60974.13084 23.551 i
60984.09287 22.481 z
60995.10249 22.917 u
61224.43422 22.377 z
61231.38141 24.585 g
61235.37317 24.353 g
61236.40497 23.566 i
61238.37862 24.219 g
61247.43756 22.469 i
61249.24209 22.122 z
61261.33069 22.942 u
61262.34894 22.960 u
61262.38302 24.549 g
61265.35051 24.759 g
61267.33148 22.947 u
61268.36784 24.603 g
61275.27641 21.700 y
61279.20416 22.520 z
61281.34632 22.506 z
61287.21512 24.205 g
61296.26532 23.302 u
61298.29571 23.277 u
61303.32579 24.127 r
61304.27472 23.402 i
61309.23900 21.389 y
61310.21427 21.517 y
61320.16152 23.142 u
61321.16807 23.219 u
61325.20826 23.979 r
61327.10850 23.479 i
61328.20829 23.651 i
61331.11762 24.020 r
61340.15704 22.911 z
61341.13447 22.061 y
61352.08602 23.109 u
61355.08775 24.080 r
61358.11880 24.372 g
61359.12493 23.448 i
61362.17003 23.074 i
61382.07016 22.808 u
61387.06498 23.827 i
61553.42458 23.610 r
61576.40410 21.816 y
61588.42307 24.548 g
61593.44293 22.517 u
61605.43672 21.592 y
61606.34194 22.347 z
61607.36690 22.706 z
61611.39097 23.248 i
61617.41303 23.179 u
61619.37433 23.173 u
61625.30382 24.248 g
61631.42209 24.245 r
61635.25594 22.614 z
61636.31389 22.751 z
61648.23366 23.273 i
61649.32169 22.902 u
61651.27594 23.108 u
61656.26779 24.492 g
61677.22285 22.782 u
61679.19691 22.519 u
61685.09802 23.294 i
61691.22167 22.496 z
61695.16865 21.618 y
61702.15338 24.055 r
61706.13931 23.083 u
61707.12918 22.946 u
61715.11775 23.453 r
61719.08356 21.762 y
61732.14559 23.306 i
61735.06825 22.651 u
61739.06443 22.992 u
61899.32535 21.715 z
61929.31604 21.917 z
61930.33683 22.196 z
61947.43089 23.376 i
61952.42213 23.871 g
61959.21562 21.996 z
61967.44433 23.139 r
61993.30843 21.622 y
61993.41744 21.743 y
62000.31347 24.416 r
62001.37193 23.300 u
62010.31826 23.625 i
62022.30913 21.794 y
62030.25236 23.302 u
62034.30341 24.263 r
62036.28860 23.684 i
62038.15747 23.252 i
62046.23580 21.993 y
62053.20573 23.866 r
62057.22873 24.400 g
62059.15102 23.289 u
62067.16112 24.555 g
62073.12880 22.280 y
62074.12020 22.170 y
62083.12591 24.749 g
62088.07650 22.689 u
62089.09800 22.461 u
62094.01786 23.598 r
62094.04823 22.922 u
62110.05164 24.520 g
62113.09822 24.807 g
62303.39836 23.789 r
62305.43990 24.010 g
62308.41353 23.363 i
62313.32946 22.434 z
62318.40315 21.744 y
62320.34138 23.198 i
62320.44218 23.541 r
62324.40873 23.074 u
62325.41117 23.917 r
62329.32134 24.063 g
62331.35863 24.067 r
62333.34834 24.351 g
62339.34343 22.455 z
62351.35316 24.002 g
62352.40595 23.660 r
62354.34888 22.850 u
62355.36366 22.620 u
62356.38912 24.589 g
62357.32113 22.894 u
62358.38308 23.625 i
62359.34042 23.780 i
62360.36120 24.633 g
62371.27297 22.232 z
62380.28378 23.882 g
62381.21777 23.427 i
62384.24850 23.270 u
62386.23741 22.820 u
62387.31653 23.154 u
62388.29279 23.267 i
62389.24890 22.782 u
62391.23546 23.814 r
62405.28723 22.582 z
62408.26133 23.413 r
62409.20995 23.993 r
62410.18815 24.028 r
62413.19466 23.078 u
62416.17155 23.943 r
62418.19721 24.188 r
62419.21809 22.725 i
62433.18675 21.862 y
62436.03780 23.375 i
62442.11352 23.269 i
62444.12323 22.878 u
62471.14146 24.243 g
62511.04819 23.482 i
62652.36751 24.464 g
62670.42132 22.793 z
62675.23738 22.787 i
62679.43648 22.244 u
62683.35051 23.095 i
62686.44061 22.824 u
62695.21289 22.529 z
62697.38404 21.758 y
62699.29953 21.663 z
62704.17615 22.848 i
62707.27804 23.049 i
62709.14964 22.871 g
62711.18380 23.713 r
62722.13520 22.472 z
62734.25153 24.139 g
62738.19073 24.035 r
62738.32718 23.150 u
62739.39213 24.560 g
62740.12749 22.844 u
62740.22966 23.039 u
62742.27133 23.184 u
62756.29868 21.610 y
62758.25981 21.798 y
62759.12993 21.737 y
62762.14313 24.564 g
62762.28316 23.743 r
62763.30439 23.103 i
62766.18503 23.787 i
62767.24492 22.920 u
62770.20076 22.611 u
62774.21231 22.941 u
62786.18984 22.704 z
62791.32269 23.283 i
62798.17353 23.319 u
62819.06411 24.033 r
62823.08351 24.158 g
62835.08641 24.624 g
63043.25076 24.023 g
63044.40372 23.197 i
63049.43525 24.400 g
63062.18583 23.637 r
63063.19718 22.859 i
63063.39172 23.008 u
63065.39049 22.903 u
63072.11745 23.460 r
63080.21519 21.407 y
63082.24046 21.667 y
63082.41325 21.618 y
63091.42573 23.625 i
63092.37645 23.727 i
63095.19315 23.767 r
63108.05367 21.258 z
63124.25279 24.165 r
63125.25434 22.907 u
63148.28861 24.009 r
63150.22177 23.258 i
63154.19149 23.484 i
63156.22471 23.978 r
63157.13300 22.647 u
63159.14206 23.492 i
63161.06304 23.792 r
63162.07395 22.790 z
63168.16819 22.627 z
63169.11786 22.245 z
63173.11560 23.547 r
