# MJD 5_sigma_depth filter
59860.24440 22.632 z
59867.14882 21.911 y
59871.14355 22.004 y
59873.13383 23.386 u
59876.14610 23.123 u
59882.14476 22.310 y
59909.04605 23.031 z
60100.38691 21.506 y
60127.39497 21.802 y
60133.41850 21.778 y
60185.28490 21.542 y
60200.25089 22.977 u
60204.26051 23.138 u
60211.19213 21.632 y
60212.20191 21.875 y
60214.20029 21.730 y
60246.19199 22.569 z
60301.07123 22.747 z
60487.44328 21.373 y
60507.40899 22.574 i
60512.38392 21.150 y
60514.31985 21.724 z
60516.40326 21.937 z
60517.34715 21.983 z
60531.34766 23.308 u
60542.29213 22.516 z
60545.29602 21.967 y
60548.35597 23.837 r
60550.26177 23.940 r
60597.15457 21.973 y
60601.13862 21.783 y
60607.13914 24.920 g
60612.13241 23.682 u
60646.06906 24.445 r
60843.41977 23.446 i
60886.32588 24.448 g
60904.33997 24.614 g
60905.34812 23.340 i
60907.34725 23.737 r
60911.33316 24.096 r
60937.24199 22.951 u
60939.25273 23.757 r
60947.17926 23.484 i
60951.18104 21.544 y
60952.14777 22.612 z
60956.17302 21.871 y
60965.16742 22.881 u
60973.16883 24.368 g
60974.13084 23.551 i
60984.09287 22.481 z
61224.43422 22.377 z
61236.40497 23.566 i
61249.24209 22.122 z
61262.34894 22.960 u
61262.38302 24.549 g
61265.35051 24.759 g
61268.36784 24.603 g
61275.27641 21.700 y
61281.34632 22.506 z
61296.26532 23.302 u
61309.23900 21.389 y
61341.13447 22.061 y
61355.08775 24.080 r
61358.11880 24.372 g
61362.17003 23.074 i
61387.06498 23.827 i
61553.42458 23.610 r
61606.34194 22.347 z
61607.36690 22.706 z
61611.39097 23.248 i
61619.37433 23.173 u
61625.30382 24.248 g
61631.42209 24.245 r
61677.22285 22.782 u
61685.09802 23.294 i
61695.16865 21.618 y
61702.15338 24.055 r
61706.13931 23.083 u
61715.11775 23.453 r
61732.14559 23.306 i
61929.31604 21.917 z
61930.33683 22.196 z
61947.43089 23.376 i
61952.42213 23.871 g
61959.21562 21.996 z
62000.31347 24.416 r
62010.31826 23.625 i
62022.30913 21.794 y
62059.15102 23.289 u
62067.16112 24.555 g
62073.12880 22.280 y
62083.12591 24.749 g
62113.09822 24.807 g
62313.32946 22.434 z
62320.44218 23.541 r
62324.40873 23.074 u
62329.32134 24.063 g
62331.35863 24.067 r
62339.34343 22.455 z
62351.35316 24.002 g
62352.40595 23.660 r
62354.34888 22.850 u
62359.34042 23.780 i
62360.36120 24.633 g
62380.28378 23.882 g
62389.24890 22.782 u
62408.26133 23.413 r
62409.20995 23.993 r
62418.19721 24.188 r
62419.21809 22.725 i
62433.18675 21.862 y
62444.12323 22.878 u
62670.42132 22.793 z
62683.35051 23.095 i
62695.21289 22.529 z
62704.17615 22.848 i
62707.27804 23.049 i
62709.14964 22.871 g
62722.13520 22.472 z
62734.25153 24.139 g
62738.19073 24.035 r
62740.12749 22.844 u
62742.27133 23.184 u
62758.25981 21.798 y
62762.28316 23.743 r
62763.30439 23.103 i
62774.21231 22.941 u
62819.06411 24.033 r
62823.08351 24.158 g
63043.25076 24.023 g
63044.40372 23.197 i
63049.43525 24.400 g
63063.19718 22.859 i
63063.39172 23.008 u
63082.24046 21.667 y
63092.37645 23.727 i
63124.25279 24.165 r
63125.25434 22.907 u
63159.14206 23.492 i
63162.07395 22.790 z
63169.11786 22.245 z
63176.13237 24.045 r
63181.07778 22.739 u
63191.09579 24.175 g
63379.34873 21.609 y
63387.31412 23.165 i
63391.42119 24.136 g
63407.29520 21.503 y
63421.22266 23.883 r
63421.44241 22.515 u
63425.31747 24.579 g
63429.39226 22.558 i
63433.19127 21.887 z
63451.33274 24.032 r
63453.35056 23.155 u
63462.14120 22.497 z
63473.30806 24.438 g
