# MJD 5_sigma_depth filter
59853.17536 24.504 g
59853.26839 24.504 g
59854.24541 24.139 r
59854.30506 24.504 g
59857.08439 24.504 g
59857.13284 24.139 r
59858.10275 24.139 r
59859.23937 24.139 r
59859.28358 24.504 g
59860.20256 24.139 r
59860.24440 22.632 z
59862.07278 24.504 g
59862.12644 24.504 g
59863.12139 24.504 g
59863.27332 24.504 g
59864.06073 24.139 r
59864.16522 24.139 r
59865.15166 24.504 g
59865.30294 24.139 r
59866.04916 24.504 g
59867.07936 24.504 g
59867.14882 21.911 y
59868.06160 24.504 g
59868.10363 24.139 r
59868.18211 24.139 r
59869.13062 24.139 r
59871.09922 24.139 r
59871.14355 22.004 y
59872.08694 24.139 r
59872.14832 24.139 r
59873.13383 23.386 u
59873.17588 24.504 g
59874.08475 24.139 r
59874.28240 24.504 g
59875.11330 24.139 r
59875.17575 24.139 r
59875.29125 23.253 i
59876.10302 24.139 r
59876.14610 23.123 u
59876.20748 24.139 r
59877.13351 24.139 r
59877.17544 24.139 r
59877.22745 24.504 g
59878.11662 23.253 i
59878.20803 23.253 i
59879.11831 24.139 r
59879.18560 24.504 g
59880.10696 23.253 i
59880.15433 24.504 g
59882.14476 22.310 y
59887.13670 24.139 r
59891.12057 24.139 r
59892.11073 24.504 g
59892.28024 24.139 r
59893.11135 23.253 i
59894.11142 23.253 i
59895.10152 24.139 r
59895.19010 24.139 r
59896.07464 24.504 g
59897.08245 24.504 g
59900.10619 24.139 r
59901.21450 24.139 r
59902.22927 24.139 r
59903.15124 24.139 r
59904.20987 24.139 r
59905.10837 23.253 i
59906.10894 24.139 r
59906.16495 23.253 i
59907.07253 24.139 r
59908.02868 24.139 r
59908.08810 24.504 g
59908.13825 24.139 r
59909.04605 23.031 z
59909.12328 24.139 r
59910.08387 24.504 g
59910.15115 24.139 r
59910.19519 24.504 g
59918.17039 24.139 r
59918.22249 23.253 i
59920.10252 24.504 g
59921.09391 24.139 r
59924.04230 24.139 r
59924.09213 24.139 r
59930.06491 24.504 g
59933.04475 24.504 g
59937.11207 24.139 r
59944.09424 24.504 g
60072.31936 24.139 r
60074.43190 24.139 r
60094.42939 24.139 r
60100.38691 21.506 y
60101.35339 24.139 r
60101.41458 24.610 g
60103.40169 24.610 g
60118.31976 24.139 r
60118.44334 24.139 r
60120.43368 24.139 r
60122.43000 24.139 r
60124.33660 24.139 r
60124.39078 24.610 g
60124.43282 24.139 r
60126.28190 24.139 r
60126.39709 24.610 g
60127.25652 24.139 r
60127.39497 21.802 y
60128.44641 24.139 r
60131.40102 24.139 r
60133.34265 24.139 r
60133.41850 21.778 y
60137.44512 24.139 r
60138.31708 24.139 r
60138.44066 24.139 r
60139.40068 24.139 r
60140.39228 24.139 r
60140.44250 24.610 g
60142.28248 23.253 i
60142.38606 23.253 i
60143.25892 24.139 r
60143.37211 23.253 i
60144.42975 24.139 r
60145.33459 24.610 g
60147.28303 24.139 r
60147.35697 24.610 g
60148.37718 24.610 g
60152.27457 24.139 r
60152.33715 24.139 r
60153.37479 24.139 r
60154.15689 24.139 r
60158.25168 24.610 g
60158.30044 24.139 r
60166.37446 24.050 r
60167.32380 24.050 r
60168.24689 24.050 r
60168.31887 23.253 i
60168.41358 24.050 r
60175.19856 24.050 r
60175.25556 24.610 g
60175.31194 24.610 g
60176.24037 23.253 i
60177.32988 24.050 r
60177.37176 24.050 r
60178.27572 24.201 r
60179.25631 24.610 g
60179.34093 24.201 r
60180.24264 24.201 r
60181.34082 24.201 r
60181.42521 24.201 r
60182.29653 24.201 r
60183.25899 24.610 g
60183.35760 24.201 r
60184.17130 24.201 r
60184.24722 23.253 i
60185.10516 24.201 r
60185.15023 24.201 r
60185.28490 21.542 y
60187.41167 24.201 r
60192.34993 24.610 g
60193.27440 24.201 r
60195.29656 24.610 g
60195.37333 24.610 g
60196.23182 23.253 i
60196.29209 23.253 i
60200.20133 24.610 g
60200.25089 22.977 u
60200.36652 24.201 r
60201.13001 24.201 r
60201.21597 24.201 r
60201.27082 24.201 r
60202.25038 24.201 r
60202.30269 24.201 r
60202.39819 24.201 r
60203.10888 24.201 r
60204.18188 24.201 r
60204.26051 23.138 u
60204.31189 24.201 r
60206.21024 24.201 r
60206.26763 24.610 g
60207.15301 24.201 r
60208.22674 23.253 i
60210.20714 23.253 i
60211.14192 24.201 r
60211.19213 21.632 y
60211.23443 24.610 g
60212.02868 23.253 i
60212.07174 24.610 g
60212.20191 21.875 y
60214.15565 23.794 r
60214.20029 21.730 y
60215.17615 23.794 r
60221.19831 23.794 r
60221.25579 23.794 r
60222.16166 23.794 r
60222.24671 23.794 r
60223.14000 23.253 i
60223.18973 23.794 r
60225.16771 24.610 g
60227.13370 23.253 i
60227.18946 23.253 i
60228.14318 24.610 g
60228.23347 24.610 g
60228.29543 24.610 g
60229.10589 23.253 i
60232.25321 24.610 g
60234.14231 24.610 g
60238.11196 24.610 g
60238.20279 23.794 r
60238.29498 24.610 g
60239.11845 24.610 g
60240.00911 23.794 r
60240.10029 23.253 i
60241.01058 23.794 r
60241.06804 23.794 r
60241.18973 24.610 g
60241.23523 24.610 g
60242.11672 24.610 g
60242.17990 23.794 r
60243.18073 24.610 g
60244.16999 23.794 r
60244.21675 23.253 i
60246.14354 23.794 r
60246.19199 22.569 z
60246.32064 23.794 r
60247.07081 23.794 r
60248.11039 23.794 r
60249.06714 23.794 r
60249.11875 23.794 r
60251.13193 23.794 r
60256.14988 24.610 g
60257.07584 24.610 g
60258.06149 23.794 r
60258.12090 23.794 r
60260.13097 24.610 g
60261.09056 23.794 r
60261.13907 23.794 r
60261.22336 23.794 r
60262.12461 24.610 g
60263.13983 23.794 r
60264.11343 23.794 r
60265.10977 23.794 r
60268.15538 23.253 i
60269.04110 23.794 r
60270.01762 23.794 r
60270.06128 23.794 r
60271.08400 23.794 r
60276.10927 23.794 r
60277.21319 23.794 r
60278.19676 23.794 r
60282.06340 23.794 r
60282.10701 23.794 r
60290.03963 23.794 r
60296.08980 23.794 r
60300.04061 23.794 r
60301.07123 22.747 z
60308.05096 24.610 g
60315.04615 23.794 r
60321.04839 24.610 g
60326.04419 23.794 r
60457.37109 24.920 g
60457.41355 23.464 r
60461.43508 23.464 r
60465.43404 23.464 r
60466.31582 23.464 r
60467.44176 23.464 r
60470.42030 23.464 r
60471.36781 23.464 r
60479.27044 23.464 r
60479.33787 24.920 g
60482.33541 23.464 r
60482.39788 24.920 g
60483.43734 24.920 g
60484.32980 24.920 g
60485.35889 24.165 r
60486.40072 24.165 r
60487.28988 24.165 r
60487.39719 24.165 r
60487.44328 21.373 y
60490.39027 24.165 r
60491.42265 24.165 r
60493.42753 24.165 r
60494.43669 24.165 r
60495.25850 24.165 r
60495.38860 24.165 r
60495.44192 24.165 r
60497.44166 24.165 r
